price,area,rooms,floor,total_floors,city,microdistrict,price_per_sqm
105779240,130.27,4.0,4.0,5.0,Алматы,"Наурызбайский р-н, мкр Акжар, Белжайлау 47а",811999.9999999999
90283600,127.16,4.0,4.0,5.0,Алматы,"Турксибский р-н, Кульджинский тр-т 80/1",710000.0
51502050,86.85,3.0,4.0,5.0,Алматы,"Турксибский р-н, Тараз",593000.0
65835000,62.7,1.0,4.0,5.0,Алматы,"Медеуский р-н, мкр Горный Гигант, Оспанова 83/36",1050000.0
39822000,66.37,3.0,4.0,5.0,Алматы,"Жетысуский р-н, Райымбека 241",600000.0
32500000,33.0,1.0,5.0,5.0,Алматы,"Алмалинский р-н, улица Клочкова 24 — Қабанбай батыра",984848.4848484849
27000000,51.8,2.0,4.0,5.0,Алматы,"Алатауский р-н, Турара Рыскулова 103/7",521235.52123552124
59990000,78.0,3.0,5.0,5.0,Алматы,"Бостандыкский р-н, Абая 62",769102.5641025641
32950000,55.0,2.0,5.0,5.0,Алматы,"Алмалинский р-н, мкр Тастак-2 17",599090.9090909091
19000000,44.0,1.0,1.0,6.0,Алматы,"Алатауский р-н, Северное кольцо 86/3",431818.1818181818
55000000,75.0,3.0,1.0,9.0,Алматы,"Ауэзовский р-н, мкр Мамыр-4 304",733333.3333333334
110000000,104.0,3.0,13.0,14.0,Алматы,"Бостандыкский р-н, Гагарина 277/7",1057692.3076923077
68376000,92.4,3.0,4.0,5.0,Алматы,"Наурызбайский р-н, мкр Акжар, Белжайлау 47а",740000.0
26000000,64.2,2.0,4.0,5.0,Алматы,вдоль Капчагайской трассы,404984.42367601243
78960000,65.8,2.0,4.0,5.0,Алматы,"Медеуский р-н, Сагадат Нурмагамбетов 71",1200000.0
68000000,92.0,3.0,12.0,12.0,Алматы,"Медеуский р-н, НИЗКАЯ ЦЕНА Достык 33 ЛУЧШЕЕ ПРЕДЛОЖЕНИЕ",739130.4347826086
35000000,39.1,1.0,4.0,9.0,Алматы,"Алмалинский р-н, Шевченко 129 — Муканова",895140.6649616368
36000000,52.8,2.0,11.0,12.0,Алматы,"Алатауский р-н, Бауыржана Момышулы",681818.1818181819
41500000,89.0,3.0,9.0,10.0,Алматы,"Алатауский р-н, мкр Акбулак 37 — Рыскулова Момышулы",466292.13483146066
53500000,70.0,2.0,2.0,3.0,Алматы,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Какимбек Салыков 42",764285.7142857143
75682000,95.8,3.0,4.0,5.0,Алматы,"Ауэзовский р-н, Аскарова — Саина",790000.0
47000000,70.0,2.0,2.0,10.0,Алматы,"Наурызбайский р-н, Кенесары хана 54/33",671428.5714285715
65000000,84.0,3.0,10.0,16.0,Алматы,"Бостандыкский р-н, Бальзака 8В — Шолом-алейхема - Попова",773809.5238095238
39000000,70.0,2.0,3.0,9.0,Алматы,"Алатауский р-н, Суатколь — Рыскулова/ Момышулы",557142.8571428572
30000000,53.0,2.0,5.0,5.0,Алматы,"Жетысуский р-н, мкр Кокжиек",566037.7358490566
55000000,77.0,3.0,1.0,4.0,Алматы,"Бостандыкский р-н, мкр Алмагуль, Розыбакиева 153 В",714285.7142857143
41000000,54.0,3.0,4.0,4.0,Алматы,"Бостандыкский р-н, Масанчи — Сатпаева",759259.2592592592
110400000,96.0,3.0,4.0,5.0,Алматы,"Медеуский р-н, Сагадат Нурмагамбетов 71",1150000.0
26208000,72.8,3.0,4.0,5.0,Алматы,"Алатауский р-н, Момышулы, севернее ул. Монке би",360000.0
17000000,35.0,1.0,9.0,9.0,Алматы,"Наурызбайский р-н, мкр Шугыла, Мкрн Шугыла 24",485714.28571428574
79500000,82.1,4.0,3.0,8.0,Алматы,"Бостандыкский р-н, Жаксылык Ушкемпиров",968331.3032886725
109000000,119.0,4.0,2.0,4.0,Алматы,"Наурызбайский р-н, мкр Рахат, Культобе 24/4 — Аскарова",915966.3865546219
35500000,39.0,2.0,2.0,10.0,Алматы,"Наурызбайский р-н, Жунисова",910256.4102564103
44000000,45.6,2.0,9.0,12.0,Алматы,"Алмалинский р-н, Сейфулина 469а​",964912.2807017544
58000000,92.0,3.0,2.0,13.0,Алматы,"Алмалинский р-н, Муратбаева 14",630434.7826086957
29000000,49.0,2.0,12.0,13.0,Алматы,"Ауэзовский р-н, Райымбека 348/1",591836.7346938775
